pathway,source,interactiontype,target
M NArginine and proline metabolism,ALDH4A1,compound,GOT1L1*GOT1*GOT2
M NArginine and proline metabolism,GOT1L1*GOT1*GOT2,compound,HOGA1
M NArginine and proline metabolism,HOGA1,compound,
M NArginine and proline metabolism,HOGA1,compound,
M NArginine and proline metabolism,HOGA1,compound,
M NArginine and proline metabolism,ODC1,compound,
M NArginine and proline metabolism,ODC1,compound,SRM
M NArginine and proline metabolism,ODC1,compound,AOC1
M NArginine and proline metabolism,ODC1,compound,SAT2*SAT1
M NArginine and proline metabolism,ALDH2*ALDH1B1*ALDH9A1*ALDH3A2*ALDH7A1,compound,
M NArginine and proline metabolism,CARNS1,compound,
M NArginine and proline metabolism,CNDP2,compound,
M NArginine and proline metabolism,CNDP1,compound,
M NArginine and proline metabolism,,compound,GATM
M NArginine and proline metabolism,,compound,AGMAT
M NArginine and proline metabolism,SMS,compound,
M NArginine and proline metabolism,SMOX,compound,
M NArginine and proline metabolism,P4HA3*P4HA1*P4HA2,compound,
M NArginine and proline metabolism,PRODH2,compound,
M NArginine and proline metabolism,PYCR2*PYCR1*PYCR3,compound,
M NArginine biosynthesis,CPS1,compound,OTC
M NArginine biosynthesis,ABHD14A-ACY1*ACY1,compound,ARG1*ARG2
M NArginine biosynthesis,,compound,OTC
M NArginine biosynthesis,ABHD14A-ACY1*ACY1,compound,
M NArginine biosynthesis,GLUL,compound,
M NArginine biosynthesis,ABHD14A-ACY1*ACY1,compound,OTC
M NArginine biosynthesis,GLS2*GLS,compound,
M NArginine biosynthesis,ARG1*ARG2,compound,
M NArginine biosynthesis,CPS1,compound,
M NArginine biosynthesis,ARG1*ARG2,compound,OTC
M NArginine biosynthesis,GLUD1*GLUD2,compound,
M NArginine biosynthesis,,compound,OTC
M NArginine biosynthesis,CPS1,compound,CAD
M NArginine biosynthesis,,compound,ARG1*ARG2
M NArginine biosynthesis,OTC,compound,CAD
M NArginine biosynthesis,CAD,compound,
M NArginine biosynthesis,ARG1*ARG2,compound,
M NArginine biosynthesis,GLS2*GLS,compound,CPS1
M NArginine biosynthesis,GLUL,compound,CAD
M NArginine biosynthesis,,compound,ASL
M NArginine biosynthesis,GLS2*GLS,compound,GLUD1*GLUD2
M NArginine biosynthesis,GLS2*GLS,compound,CAD
M NArginine biosynthesis,,compound,NOS1*NOS2*NOS3
M NArginine biosynthesis,GLUL,compound,CPS1
M NArginine biosynthesis,,compound,ASL
M NArginine biosynthesis,GLUL,compound,GLUD1*GLUD2
M NArginine biosynthesis,,compound,NOS1*NOS2*NOS3
M NArginine biosynthesis,CPS1,compound,GLUD1*GLUD2
M NArginine biosynthesis,ASL,compound,NOS1*NOS2*NOS3
M NArginine biosynthesis,,compound,GOT1L1*GOT1*GOT2
M NArginine biosynthesis,ASL,compound,
M NArginine biosynthesis,,compound,GPT*GPT2
M NArginine biosynthesis,ASS1,compound,ASL
M NArginine biosynthesis,GOT1L1*GOT1*GOT2,compound,NAGS
M NArginine biosynthesis,,compound,ASS1
M NArginine biosynthesis,GOT1L1*GOT1*GOT2,compound,GLUD1*GLUD2
M NArginine biosynthesis,ASS1,compound,NOS1*NOS2*NOS3
M NArginine biosynthesis,GPT*GPT2,compound,NAGS
M NArginine biosynthesis,ASS1,compound,OTC
M NArginine biosynthesis,GPT*GPT2,compound,GLUD1*GLUD2
M NArginine biosynthesis,NOS1*NOS2*NOS3,compound,OTC
M NArginine biosynthesis,NAGS,compound,GLUD1*GLUD2
M NArginine biosynthesis,CPS1,compound,
M NCitrate cycle (TCA cycle),SDHA*SDHB*SDHC*SDHD,compound,SUCLG2*SUCLG1*SUCLA2
M NCitrate cycle (TCA cycle),,compound,DLST
M NCitrate cycle (TCA cycle),,compound,SDHA*SDHB*SDHC*SDHD
M NCitrate cycle (TCA cycle),SUCLG2*SUCLG1*SUCLA2,compound,DLST
M NCitrate cycle (TCA cycle),MDH1*MDH2,compound,FH
M NCitrate cycle (TCA cycle),SUCLG2*SUCLG1*SUCLA2,compound,
M NCitrate cycle (TCA cycle),,compound,SUCLG2*SUCLG1*SUCLA2
M NCitrate cycle (TCA cycle),PC,compound,PCK1*PCK2
M NCitrate cycle (TCA cycle),FH,compound,
M NCitrate cycle (TCA cycle),DLST,compound,DLD
M NCitrate cycle (TCA cycle),DLST,compound,OGDH*OGDHL
M NCitrate cycle (TCA cycle),FH,compound,
M NCitrate cycle (TCA cycle),CS,compound,PCK1*PCK2
M NCitrate cycle (TCA cycle),SDHA*SDHB*SDHC*SDHD,compound,SUCLG2*SUCLG1*SUCLA2
M NCitrate cycle (TCA cycle),SUCLG2*SUCLG1*SUCLA2,compound,
M NCitrate cycle (TCA cycle),,compound,SDHA*SDHB*SDHC*SDHD
M NCitrate cycle (TCA cycle),SUCLG2*SUCLG1*SUCLA2,compound,DLST
M NCitrate cycle (TCA cycle),FH,compound,SDHA*SDHB*SDHC*SDHD
M NCitrate cycle (TCA cycle),MDH1*MDH2,compound,PCK1*PCK2
M NCitrate cycle (TCA cycle),PDHA1*PDHA2*PDHB,compound,PC
M NCitrate cycle (TCA cycle),,compound,ACLY
M NCitrate cycle (TCA cycle),,compound,PC
M NCitrate cycle (TCA cycle),,compound,MDH1*MDH2
M NCitrate cycle (TCA cycle),PC,compound,
M NCitrate cycle (TCA cycle),,compound,PCK1*PCK2
M NCitrate cycle (TCA cycle),PDHA1*PDHA2*PDHB,compound,
M NCitrate cycle (TCA cycle),,compound,CS
M NCitrate cycle (TCA cycle),,compound,ACLY
M NCitrate cycle (TCA cycle),,compound,MDH1*MDH2
M NCitrate cycle (TCA cycle),OGDH*OGDHL,compound,IDH1*IDH2
M NCitrate cycle (TCA cycle),OGDH*OGDHL,compound,IDH3A*IDH3B*IDH3G
M NCitrate cycle (TCA cycle),DLAT,compound,ACLY
M NCitrate cycle (TCA cycle),,compound,IDH3A*IDH3B*IDH3G
M NCitrate cycle (TCA cycle),DLAT,compound,CS
M NCitrate cycle (TCA cycle),,compound,IDH1*IDH2
M NCitrate cycle (TCA cycle),,compound,ACLY
M NCitrate cycle (TCA cycle),,compound,CS
M NCitrate cycle (TCA cycle),,compound,IDH3A*IDH3B*IDH3G
M NCitrate cycle (TCA cycle),,compound,DLAT
M NCitrate cycle (TCA cycle),,compound,IDH1*IDH2
M NCitrate cycle (TCA cycle),,compound,ACLY
M NCitrate cycle (TCA cycle),,compound,IDH3A*IDH3B*IDH3G
M NCitrate cycle (TCA cycle),,compound,CS
M NCitrate cycle (TCA cycle),,compound,IDH1*IDH2
M NCitrate cycle (TCA cycle),IDH3A*IDH3B*IDH3G,compound,IDH1*IDH2
M NCitrate cycle (TCA cycle),ACO1*ACO2,compound,IDH1*IDH2
M NCitrate cycle (TCA cycle),,compound,DLAT
M NCitrate cycle (TCA cycle),ACO1*ACO2,compound,IDH3A*IDH3B*IDH3G
M NCitrate cycle (TCA cycle),ACLY,compound,PC
M NCitrate cycle (TCA cycle),IDH1*IDH2,compound,IDH3A*IDH3B*IDH3G
M NCitrate cycle (TCA cycle),CS,compound,ACO1*ACO2
M NCitrate cycle (TCA cycle),,compound,PC
M NCitrate cycle (TCA cycle),ACLY,compound,ACO1*ACO2
M NCitrate cycle (TCA cycle),,compound,CS
M NCitrate cycle (TCA cycle),DLD,compound,PDHA1*PDHA2*PDHB
M NCitrate cycle (TCA cycle),PDHA1*PDHA2*PDHB,compound,PDHA1*PDHA2*PDHB
M NCitrate cycle (TCA cycle),MDH1*MDH2,compound,ACLY
M NCitrate cycle (TCA cycle),,compound,PCK1*PCK2
M NCitrate cycle (TCA cycle),DLAT,compound,PDHA1*PDHA2*PDHB
M NCitrate cycle (TCA cycle),CS,compound,PC
M NCitrate cycle (TCA cycle),MDH1*MDH2,compound,CS
M NCitrate cycle (TCA cycle),DLD,compound,DLAT
M NCitrate cycle (TCA cycle),MDH1*MDH2,compound,PC
M NCitrate cycle (TCA cycle),PCK1*PCK2,compound,
M NCitrate cycle (TCA cycle),ACLY,compound,PCK1*PCK2
M NCitrate cycle (TCA cycle),OGDH*OGDHL,compound,
M NCitrate cycle (TCA cycle),,compound,IDH3A*IDH3B*IDH3G
M NCitrate cycle (TCA cycle),,compound,CS
M NCitrate cycle (TCA cycle),,compound,SDHA*SDHB*SDHC*SDHD
M NCitrate cycle (TCA cycle),,compound,SUCLG2*SUCLG1*SUCLA2
M NCitrate cycle (TCA cycle),,compound,ACLY
M NCitrate cycle (TCA cycle),,compound,IDH1*IDH2
M NCitrate cycle (TCA cycle),,compound,ACLY
M NCitrate cycle (TCA cycle),,compound,DLAT
M NCitrate cycle (TCA cycle),OGDH*OGDHL,compound,
M NCitrate cycle (TCA cycle),,compound,DLAT
M NCitrate cycle (TCA cycle),,compound,CS
M NCitrate cycle (TCA cycle),OGDH*OGDHL,compound,
M NCitrate cycle (TCA cycle),DLD,compound,OGDH*OGDHL
M NCitrate cycle (TCA cycle),OGDH*OGDHL,compound,
M NCysteine and methionine metabolism,CDO1,compound,CTH
M NCysteine and methionine metabolism,MTR,compound,IL4I1
M NCysteine and methionine metabolism,CDO1,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,MTR,compound,MAT2B*MAT1A*MAT2A
M NCysteine and methionine metabolism,CDO1,compound,GOT1L1*GOT1*GOT2
M NCysteine and methionine metabolism,BHMT2,compound,TAT
M NCysteine and methionine metabolism,,compound,PHGDH
M NCysteine and methionine metabolism,CTH,compound,GOT1L1*GOT1*GOT2
M NCysteine and methionine metabolism,BHMT2,compound,IL4I1
M NCysteine and methionine metabolism,PSAT1,compound,PHGDH
M NCysteine and methionine metabolism,KYAT3*KYAT1,compound,GOT1L1*GOT1*GOT2
M NCysteine and methionine metabolism,BHMT2,compound,MAT2B*MAT1A*MAT2A
M NCysteine and methionine metabolism,IL4I1,compound,TAT
M NCysteine and methionine metabolism,MPST*TST,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,BHMT,compound,TAT
M NCysteine and methionine metabolism,AHCYL1*AHCY*AHCYL2,compound,GNMT
M NCysteine and methionine metabolism,MPST*TST,compound,CTH
M NCysteine and methionine metabolism,BHMT,compound,IL4I1
M NCysteine and methionine metabolism,MAT2B*MAT1A*MAT2A,compound,GNMT
M NCysteine and methionine metabolism,GOT1L1*GOT1*GOT2,compound,MPST*TST
M NCysteine and methionine metabolism,BHMT,compound,MAT2B*MAT1A*MAT2A
M NCysteine and methionine metabolism,AMD1,compound,GNMT
M NCysteine and methionine metabolism,GOT1L1*GOT1*GOT2,compound,LDHAL6A*LDHA*LDHB*LDHC*LDHAL6B
M NCysteine and methionine metabolism,TAT,compound,MAT2B*MAT1A*MAT2A
M NCysteine and methionine metabolism,MPST*TST,compound,LDHAL6A*LDHA*LDHB*LDHC*LDHAL6B
M NCysteine and methionine metabolism,IL4I1,compound,MAT2B*MAT1A*MAT2A
M NCysteine and methionine metabolism,MPST*TST,compound,
M NCysteine and methionine metabolism,AHCYL1*AHCY*AHCYL2,compound,DNMT1*DNMT3A*DNMT3B
M NCysteine and methionine metabolism,,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,GOT1L1*GOT1*GOT2,compound,
M NCysteine and methionine metabolism,MAT2B*MAT1A*MAT2A,compound,DNMT1*DNMT3A*DNMT3B
M NCysteine and methionine metabolism,GOT1L1*GOT1*GOT2,compound,CDO1
M NCysteine and methionine metabolism,MAT2B*MAT1A*MAT2A,compound,AMD1
M NCysteine and methionine metabolism,,compound,CDO1
M NCysteine and methionine metabolism,DNMT1*DNMT3A*DNMT3B,compound,AMD1
M NCysteine and methionine metabolism,CBSL*CBS,compound,CTH
M NCysteine and methionine metabolism,AMD1,compound,SRM
M NCysteine and methionine metabolism,KYAT3*KYAT1,compound,CTH
M NCysteine and methionine metabolism,SRM,compound,LACC1*MTAP
M NCysteine and methionine metabolism,,compound,GOT1L1*GOT1*GOT2
M NCysteine and methionine metabolism,,compound,CBSL*CBS
M NCysteine and methionine metabolism,MRI1,compound,LACC1*MTAP
M NCysteine and methionine metabolism,,compound,BHMT
M NCysteine and methionine metabolism,APIP,compound,MRI1
M NCysteine and methionine metabolism,,compound,MTR
M NCysteine and methionine metabolism,APIP,compound,ENOPH1
M NCysteine and methionine metabolism,,compound,BHMT2
M NCysteine and methionine metabolism,ADI1,compound,ADI1
M NCysteine and methionine metabolism,,compound,AHCYL1*AHCY*AHCYL2
M NCysteine and methionine metabolism,ADI1,compound,ENOPH1
M NCysteine and methionine metabolism,,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,ADI1,compound,ENOPH1
M NCysteine and methionine metabolism,,compound,CBSL*CBS
M NCysteine and methionine metabolism,TAT,compound,ADI1
M NCysteine and methionine metabolism,IL4I1,compound,ADI1
M NCysteine and methionine metabolism,BHMT,compound,AHCYL1*AHCY*AHCYL2
M NCysteine and methionine metabolism,AMD1,compound,SMS
M NCysteine and methionine metabolism,,compound,SDS*SDSL
M NCysteine and methionine metabolism,BHMT,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,SMS,compound,LACC1*MTAP
M NCysteine and methionine metabolism,GOT1L1*GOT1*GOT2,compound,
M NCysteine and methionine metabolism,BHMT,compound,CBSL*CBS
M NCysteine and methionine metabolism,CTH,compound,
M NCysteine and methionine metabolism,GCLC*GCLM,compound,GSS
M NCysteine and methionine metabolism,CTH,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,BHMT,compound,
M NCysteine and methionine metabolism,GOT1L1*GOT1*GOT2,compound,MDH1*MDH2
M NCysteine and methionine metabolism,CTH,compound,
M NCysteine and methionine metabolism,MTR,compound,AHCYL1*AHCY*AHCYL2
M NCysteine and methionine metabolism,CTH,compound,
M NCysteine and methionine metabolism,CTH,compound,
M NCysteine and methionine metabolism,MTR,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,CTH,compound,
M NCysteine and methionine metabolism,CTH,compound,CDO1
M NCysteine and methionine metabolism,MTR,compound,CBSL*CBS
M NCysteine and methionine metabolism,CTH,compound,BCAT1*BCAT2
M NCysteine and methionine metabolism,CTH,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,MTR,compound,
M NCysteine and methionine metabolism,CTH,compound,AGXT2
M NCysteine and methionine metabolism,CTH,compound,GOT1L1*GOT1*GOT2
M NCysteine and methionine metabolism,BHMT2,compound,AHCYL1*AHCY*AHCYL2
M NCysteine and methionine metabolism,BCAT1*BCAT2,compound,
M NCysteine and methionine metabolism,BHMT2,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,BCAT1*BCAT2,compound,
M NCysteine and methionine metabolism,,compound,CDO1
M NCysteine and methionine metabolism,BHMT2,compound,CBSL*CBS
M NCysteine and methionine metabolism,BCAT1*BCAT2,compound,
M NCysteine and methionine metabolism,,compound,CTH
M NCysteine and methionine metabolism,BHMT2,compound,
M NCysteine and methionine metabolism,AGXT2,compound,
M NCysteine and methionine metabolism,,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,AHCYL1*AHCY*AHCYL2,compound,KYAT3*KYAT1
M NCysteine and methionine metabolism,AGXT2,compound,
M NCysteine and methionine metabolism,,compound,GOT1L1*GOT1*GOT2
M NCysteine and methionine metabolism,AHCYL1*AHCY*AHCYL2,compound,CBSL*CBS
M NCysteine and methionine metabolism,AGXT2,compound,
M NCysteine and methionine metabolism,,compound,CDO1
M NCysteine and methionine metabolism,AHCYL1*AHCY*AHCYL2,compound,
M NCysteine and methionine metabolism,BCAT1*BCAT2,compound,GCLC*GCLM
M NCysteine and methionine metabolism,,compound,CTH
M NCysteine and methionine metabolism,KYAT3*KYAT1,compound,
M NCysteine and methionine metabolism,AGXT2,compound,GCLC*GCLM
M NCysteine and methionine metabolism,CBSL*CBS,compound,
M NCysteine and methionine metabolism,MTR,compound,TAT
M NFatty acid degradation,ACADM,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,HADHA
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADL,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,HADHA
M NFatty acid degradation,,compound,ACAT1*ACAT2
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,EHHADH*HADH
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADL
M NFatty acid degradation,EHHADH*HADH,compound,ECHS1*EHHADH*HADHA
M NFatty acid degradation,,compound,ACAT1*ACAT2
M NFatty acid degradation,EHHADH*HADH,compound,ECHS1*EHHADH*HADHA
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADM
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,HADHA
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADL
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,EHHADH*HADH
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,HADHA
M NFatty acid degradation,ACADL,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,EHHADH*HADH
M NFatty acid degradation,ACADM,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,
M NFatty acid degradation,ACADM,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,EHHADH*HADH
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAT1*ACAT2,compound,ACADSB
M NFatty acid degradation,ACADL,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,HADHA
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADSB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADL
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,HADHA
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADSB,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADM
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,EHHADH*HADH
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,
M NFatty acid degradation,EHHADH*HADH,compound,ECHS1*EHHADH*HADHA
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADM
M NFatty acid degradation,,compound,ACAT1*ACAT2
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,HADHA
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADL
M NFatty acid degradation,,compound,ACAT1*ACAT2
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,HADHA
M NFatty acid degradation,ACADL,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADSB,compound,ECHS1*EHHADH*HADHA
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,EHHADH*HADH
M NFatty acid degradation,ACADM,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADSB,compound,GCDH
M NFatty acid degradation,ACADM,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,EHHADH*HADH
M NFatty acid degradation,CPT1C*CPT1A*CPT1B,compound,ACSL1*ACSL3*ACSL4*ACSBG1*ACSL6*ACSL5*ACSBG2
M NFatty acid degradation,ACADS,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,CPT2,compound,CPT1C*CPT1A*CPT1B
M NFatty acid degradation,ACADL,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADVL,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,EHHADH*HADH
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADVL
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,HADHA
M NFatty acid degradation,ACADS,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADVL,compound,CPT2
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,HADHA
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADM
M NFatty acid degradation,ACADVL,compound,ECHS1*EHHADH*HADHA
M NFatty acid degradation,EHHADH*HADH,compound,ECHS1*EHHADH*HADHA
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADS,compound,ECHS1*EHHADH*HADHA
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADM
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,ACADSB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADL
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADS,compound,ACAT1*ACAT2
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACOX1*ACOX3
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADM,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,GCDH,compound,ACOX1*ACOX3
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADM,compound,ACAT1*ACAT2
M NFatty acid degradation,ACAT1*ACAT2,compound,ACOX1*ACOX3
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ADH1A*ADH1B*ADH1C*ADH4*ADH5*ADH6*ADH7,compound,ALDH2*ALDH1B1*ALDH9A1*ALDH3A2*ALDH7A1
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,ACOX1*ACOX3
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ALDH2*ALDH1B1*ALDH9A1*ALDH3A2*ALDH7A1,compound,CYP2U1
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACOX1*ACOX3
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADM,compound,CPT2
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACOX1*ACOX3
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACADL,compound,CPT2
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,ACOX1*ACOX3
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADM
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,ACOX1*ACOX3
M NFatty acid degradation,ACAT1*ACAT2,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADL
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACOX1*ACOX3
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADS
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,ACOX1*ACOX3
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,HADHA
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACOX1*ACOX3
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,EHHADH*HADH,compound,ECHS1*EHHADH*HADHA
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,ACOX1*ACOX3
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,HADHA
M NFatty acid degradation,ACAA2*ACAA1*HADHB,compound,ACOX1*ACOX3
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAT1*ACAT2,compound,HADHA
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACOX1*ACOX3
M NFatty acid degradation,,compound,ACAA2*ACAA1*HADHB
M NFatty acid degradation,ACAT1*ACAT2,compound,EHHADH*HADH
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACOX1*ACOX3
M NFatty acid degradation,,compound,ACAT1*ACAT2
M NFatty acid degradation,ACADM,compound,GCDH
M NFatty acid degradation,CPT2,compound,ACOX1*ACOX3
M NFatty acid degradation,ACADS,compound,GCDH
M NFatty acid degradation,ACSL1*ACSL3*ACSL4*ACSBG1*ACSL6*ACSL5*ACSBG2,compound,
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,ACADM
M NFatty acid degradation,ACSL1*ACSL3*ACSL4*ACSBG1*ACSL6*ACSL5*ACSBG2,compound,
M NFatty acid degradation,,compound,ACAT1*ACAT2
M NFatty acid degradation,ECHS1*EHHADH*HADHA,compound,GCDH
M NFatty acid degradation,ACSL1*ACSL3*ACSL4*ACSBG1*ACSL6*ACSL5*ACSBG2,compound,
M NFatty acid degradation,ACAT1*ACAT2,compound,EHHADH*HADH
M NFatty acid degradation,EHHADH*HADH,compound,ECHS1*EHHADH*HADHA
M NFolate biosynthesis,AKR1B1*AKR1B15*AKR1B10,compound,SPR
M NFolate biosynthesis,CBR1,compound,SPR
M NFolate biosynthesis,DHFR*DHFR2,compound,
M NFolate biosynthesis,AKR1C3,compound,AKR1B1*AKR1B15*AKR1B10
M NFolate biosynthesis,SPR,compound,QDPR
M NFolate biosynthesis,SPR,compound,AKR1B1*AKR1B15*AKR1B10
M NFolate biosynthesis,GCH1,compound,MOCS1
M NFolate biosynthesis,DHFR*DHFR2,compound,
M NFolate biosynthesis,SPR,compound,DHFR*DHFR2
M NFolate biosynthesis,AKR1C3,compound,AKR1B1*AKR1B15*AKR1B10
M NFolate biosynthesis,DHFR*DHFR2,compound,GGH
M NFolate biosynthesis,SPR,compound,TPH2*TPH1
M NFolate biosynthesis,GCH1,compound,PTS
M NFolate biosynthesis,SPR,compound,DHFR*DHFR2
M NFolate biosynthesis,AKR1B1*AKR1B15*AKR1B10,compound,PAH
M NFolate biosynthesis,SPR,compound,QDPR
M NFolate biosynthesis,PTS,compound,PTS
M NFolate biosynthesis,SPR,compound,TPH2*TPH1
M NFolate biosynthesis,ALPI*ALPL*ALPP*ALPG,compound,PTS
M NFolate biosynthesis,SPR,compound,TH
M NFolate biosynthesis,,compound,MOCS1
M NFolate biosynthesis,GCH1,compound,
M NFolate biosynthesis,MOCS1,compound,MOCS1
M NFolate biosynthesis,MOCS1,compound,MOCS2
M NFolate biosynthesis,FPGS,compound,GGH
M NFolate biosynthesis,MOCS2,compound,GPHN
M NFolate biosynthesis,SPR,compound,PAH
M NFolate biosynthesis,SPR,compound,PAH
M NFolate biosynthesis,QDPR,compound,TPH2*TPH1
M NFolate biosynthesis,SPR,compound,TH
M NFolate biosynthesis,QDPR,compound,TH
M NFolate biosynthesis,FPGS,compound,DHFR*DHFR2
M NFolate biosynthesis,SPR,compound,AKR1B1*AKR1B15*AKR1B10
M NFolate biosynthesis,AKR1B1*AKR1B15*AKR1B10,compound,QDPR
